Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Mountain,Osorno,,-41.105,-72.496,8694.403818964844,,,,,,,Volcanoes
Mountain,Puntiagudo-Cordon Cenizos,,-40.969,-72.264,6460.427318261719,,,,,,,Volcanoes
Mountain,Antillanca Volcanic Complex,,-40.783,-72.15,5444.9468637939435,,,,,,,Volcanoes
Mountain,Puyehue-Cordon Caulle,,-40.59,-72.117,6422.309980878907,,,,,,,Volcanoes
Mountain,Carran-Los Venados,,-40.35,-72.07,1109.7326158215333,,,,,,,Volcanoes
Mountain,Mocho-Choshuenco,,-39.927,-72.027,7569.986420419922,,,,,,,Volcanoes
Mountain,Huanquihue Group,,-39.887,-71.58,6895.607195263672,,,,,,,Volcanoes
Mountain,Lanin,,-39.637,-71.502,12199.958931347655,,,,,,,Volcanoes
Mountain,Quetrupillan,,-39.496,-71.722,7718.893784,,,,,,,Volcanoes
Mountain,Villarrica,,-39.42,-71.93,7807.48928,,,,,,,Volcanoes
Mountain,Taranaki,,-39.3,174.07,6773.568117324218,,,,,,,Volcanoes
Mountain,Ruapehu,,-39.28,175.57,8263.263316015626,,,,,,,Volcanoes
Mountain,Caburgua-Huelemolle,,-39.25,-71.75,1970.9796484936523,,,,,,,Volcanoes
Mountain,Ngauruhoe,,-39.158,175.63,7233.572964,,,,,,,Volcanoes
Mountain,Tongariro,,-39.157,175.632,7220.55213,,,,,,,Volcanoes
Mountain,Sollipulli,,-38.97,-71.52,6902.570169414063,,,,,,,Volcanoes
Mountain,Taupo,,-38.781,175.893,1181.1024,,,,,,,Volcanoes
Mountain,St. Paul,,-38.72,77.53,0,,,,,,,Volcanoes
Mountain,Llaima,,-38.692,-71.729,9328.040874541015,,,,,,,Volcanoes
Mountain,Tralihue,,-38.509,-70.898,8007.410661113281,,,,,,,Volcanoes
Mountain,Maroa,,-38.42,176.08,1203.5497414758302,,,,,,,Volcanoes
Mountain,Reporoa,,-38.42,176.33,980.9711599999999,,,,,,,Volcanoes
Mountain,Lonquimay,,-38.379,-71.586,9270.714283037109,,,,,,,Volcanoes
Mountain,Tolhuaca,,-38.31,-71.645,8512.318801,,,,,,,Volcanoes
Mountain,Okataina,,-38.157,176.507,1396.9793291149902,,,,,,,Volcanoes
Mountain,Callaqui,,-37.92,-71.45,9218.25929,,,,,,,Volcanoes
Mountain,Copahue,,-37.856,-71.183,9583.151015117188,,,,,,,Volcanoes
Mountain,Amsterdam Island,,-37.83,77.52,1492.174151253662,,,,,,,Volcanoes
Mountain,Newer Volcanics Province,,-37.77,142.5,854.6048535461425,,,,,,,Volcanoes
Mountain,Trolon,,-37.738,-70.906,8189.414779521484,,,,,,,Volcanoes
Mountain,Boomerang Seamount,,-37.722,77.822,-2853.877442,,,,,,,Volcanoes
Mountain,Puesto Cortaderas,,-37.567,-69.617,3022.5931969628905,,,,,,,Volcanoes
Mountain,Whakaari/White Island,,-37.52,177.18,556.1203020690918,,,,,,,Volcanoes
Mountain,Nightingale Island,,-37.42,-12.48,308.5170303909302,,,,,,,Volcanoes
Mountain,Antuco,,-37.406,-71.349,8891.818914326172,,,,,,,Volcanoes
Mountain,Mayor Island,,-37.28,176.25,634.9052171801756,,,,,,,Volcanoes
Mountain,Tromen Volcanic Plateau,,-37.144,-70.033,12651.432472236327,,,,,,,Volcanoes
Mountain,Tromen,,-37.142,-70.03,12248.042941611327,,,,,,,Volcanoes
Mountain,Tristan da Cunha,,-37.092,-12.28,3663.9389449609375,,,,,,,Volcanoes
Mountain,Auckland Volcanic Field,,-36.89,174.81,165.1851952,,,,,,,Volcanoes
Mountain,Domuyo,,-36.638,-70.432,15355.503843984376,,,,,,,Volcanoes
Mountain,Clark,,-36.446,177.839,-4420.000353,,,,,,,Volcanoes
