Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Location,Fuorigrotta (Italy),,40.7769871,14.1708879,-199.2040608,,,Footage Locations,,,,
Location,Garonne (France),,44.7567413,-0.5274092,20.29112852,,,Footage Locations,,,,
Location,Golden Meadow (USA),,29.3563996,-90.288117,0.276725181,,,Footage Locations,,,,
Location,Grand Teton National Park (USA),,43.7347778,-110.7525042,7363.342361,,,Footage Locations,,,,
Location,Grand-Canyon (USA),,36.2167901,-112.378634,4023.544961,,,Footage Locations,,,,
Location,Grey Lake (Chile),,-51.049268,-73.226701,977.7190554,,,Footage Locations,,,,
Location,Gribraltar (UK),,36.1495519,-5.3367319,0,,,Footage Locations,,,,
Location,Hagia Sophia and Blue Mosque (Turkey),,41.0082974,28.9754536,148.3792505,,,Footage Locations,,,,
Location,Hidden Lake - Montana (USA),,48.6883501,-113.7401723,7301.290751,,,Footage Locations,,,,
Location,Hill Air Force Base Utah (USA),,41.1308873,-111.977744,4783.739058,,,Footage Locations,,,,
Location,Hong Kong (China),,22.3011868,114.1506977,0,,,Footage Locations,,,,
Location,Hout Bay (South Africa),,-34.0585346,18.334234,232.0489682,,,Footage Locations,,,,
Location,Ibiza (Spain),,38.936433,1.4378598,39.70490793,,,Footage Locations,,,,
Location,Ilford - London (UK),,51.5645337,0.0819047,46.92164769,,,Footage Locations,,,,
Location,Indianpolis Motor Speedway (USA),,39.8057388,-86.2399273,739.4897517,,,Footage Locations,,,,
Location,Irun (Spain),,43.3176988,-1.799034,271.5754658,,,Footage Locations,,,,
Location,Istanbul (Turkey),,41.1431208,29.1978365,192.0352832,,,Footage Locations,,,,
Location,Jabal Ram (Jordan),,29.6187255,35.4554325,3294.782969,,,Footage Locations,,,,
Location,Kadhdhoo (Maldives),,1.8654905,73.5228065,7.804626179,,,Footage Locations,,,,
Location,Kalgoorlie (Australia),,-30.7497483,121.4843865,1274.112031,,,Footage Locations,,,,
Location,La Paz (Bolivia),,-16.527204,-68.1378409,12545.11996,,,Footage Locations,,,,
Location,Lake Abraham (Canada),,52.2540488,-116.4060079,4392.080773,,,Footage Locations,,,,
Location,Lake Almanor (USA),,40.2797332,-121.1304286,4616.462675,,,Footage Locations,,,,
Location,Lake Como (Italy),,46.1601756,9.3815129,654.5290318,,,Footage Locations,,,,
Location,Lake District (UK),,54.426573,-3.4112683,413.6649587,,,Footage Locations,,,,
Location,Lake Garda (Italy),,45.6206956,10.2421776,2749.061572,,,Footage Locations,,,,
Location,Lake Geneva and Mont Blanc (Switzerland/France),,46.1965461,6.1780763,1378.643851,,,Footage Locations,,,,
Location,Lake Las Vegas (USA),,36.0901188,-114.9576503,1586.149372,,,Footage Locations,,,,
Location,Lake Lucerne (Switzerland),,47.039811,8.3301918,1436.777536,,,Footage Locations,,,,
Location,Lake Norman (USA),,35.5725833,-80.9036237,851.0348575,,,Footage Locations,,,,
Location,Lake Powell (USA),,37.0695509,-111.2348737,3595.80064,,,Footage Locations,,,,
Location,Lake Tekapo (New Zealand),,-43.8085649,170.5352334,2088.177966,,,Footage Locations,,,,
Location,Larson Bay (USA),,57.5466968,-153.9551991,0,,,Footage Locations,,,,
Location,Leeds - Waterloo Lake (UK),,53.8370488,-1.4947452,337.6511309,,,Footage Locations,,,,
Location,Lexington - Nebraska (USA),,40.744327,-99.7963612,2396.688062,,,Footage Locations,,,,
Location,Lisbon Humberto Delgado Airport (Portugal),,38.7745856,-9.1389187,345.6625961,,,Footage Locations,,,,
Location,London City Airport (UK),,51.5040253,0.0898688,24.37811433,,,Footage Locations,,,,
Location,London Gatwick Airport (UK),,51.1588119,-0.1730801,189.4955558,,,Footage Locations,,,,
Location,London Heathrow Airport (UK),,51.470497,-0.4500861,95.54838877,,,Footage Locations,,,,
Location,Long Island (Bahamas),,23.1841889,-75.3185885,-7.213358253,,,Footage Locations,,,,
Location,Luanco Gozon (spain),,43.62281,-5.8507869,292.0903277,,,Footage Locations,,,,
Location,Lukla Tenzing Hillary Airport (Nepal),,27.6865964,86.7313209,9322.519676,,,Footage Locations,,,,
Location,Macau (china),,22.1877988,113.5468568,6.826612486,,,Footage Locations,,,,
Location,Manaus (Brazil),,-3.1986704,-60.7783829,26.24672,,,Footage Locations,,,,
Location,Manhatten (USA),,40.7575801,-73.9754555,64.3537572,,,Footage Locations,,,,
Location,Marangu (Tanzania),,-3.6875673,37.6058258,3380.739816,,,Footage Locations,,,,
Location,Marignac (France),,42.9896001,0.6996253,2729.356107,,,Footage Locations,,,,
Location,Marina bay hotel (Singapur),,1.2867379,103.85884,5.700675234,,,Footage Locations,,,,
Location,Marismas Nacionales Nayarit (Mexico),,21.9237772,-105.574602,6.657812439,,,Footage Locations,,,,
Location,Maritime Alps (Italy and France),,44.2734548,6.9888158,8340.563303,,,Footage Locations,,,,
Location,Marrakesh Menara Airport (Morocco),,31.6040236,-8.0261962,1537.238944,,,Footage Locations,,,,
Location,Mera Peak (Nepal),,27.6900165,86.8172284,12828.98631,,,Footage Locations,,,,
Location,Miami Beach (USA),,25.6597918,-80.1479443,-6.768634843,,,Footage Locations,,,,
Location,Miami International Airport (USA),,25.7911903,-80.2584197,3.505126341,,,Footage Locations,,,,
Location,Milford Sound (New Zealand),,-44.6670351,167.9118133,0,,,Footage Locations,,,,
Location,Millau (France),,44.1068158,3.1105744,2034.491256,,,Footage Locations,,,,
