Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Airport,Hokkaido Spaceport,JP0052 ,42.49968991,143.4397028,52.27027144203186,,,World Update 20 Japan,,,,
Airport,Rishiri Airport,RJER,45.24197388,141.1875,99.86221313,,,World Update 20 Japan,,,,
Airport,Kitakyushu Airport,RJFR,33.84557343,131.0350494,20.59383392,,,World Update 20 Japan,,,,
Airport,Sado Airport,RJSD,38.06111145,138.4141693,54.63582611,,,World Update 20 Japan,,,,
Airport,Satsuma I?jima Airport,RJX7,34.206245083333336,132.6792866111111,0.0,,,World Update 20 Japan,,,,
POI,Shin Aso-Ohashi Bridge, ASO,,41.43036402777778,141.4619766111111,56.970959831924425,,,World Update 20 Japan,,,,
Lighthouse,Shiriyazaki Lighthouse, HIGASHIDORI,,44.56258836111111,141.77427380555557,153.4952628326416,,,World Update 20 Japan,,,,
Building,Shosanbetsu Astronomical Observatory, SHOSANBETSU,,26.216999888888886,127.71900013888889,419.75085282562264,,,World Update 20 Japan,,,,
Building,Shuri Castle, NAHA,,37.30985061111111,139.28682802777777,1582.3299684020997,,,World Update 20 Japan,,,,
POI,Tagokura Dam, TADAMI,,36.474879944444446,137.69030391666666,4087.4933063964845,,,World Update 20 Japan,,,,
POI,Takase Dam, OMACHI,,35.30058336111111,134.82903019444444,1115.2398974438474,,,World Update 20 Japan,,,,
Building,Takeda Castle Ruins, ASAGO,,35.95619905555556,138.8985743,1759.0094300708008,,,World Update 20 Japan,,,,
POI,Takizawa Dam, HANNO,,41.2583905,140.34243419444445,365.7092564382936,,,World Update 20 Japan,,,,
Lighthouse,Tappizaki Lighthouse, SOTOGAHAMA,,43.41569558333333,143.18927452777777,1702.75596,,,World Update 20 Japan,,,,
POI,Taushubetsu Bridge, KAMISHIHORO,,35.26344180555556,139.86245333333332,404.17765111022936,,,World Update 20 Japan,,,,
POI,Tokyo Wan Kannon, FUTTSU,,34.688445916666666,135.83987072222223,338.3828318988038,,,World Update 20 Japan,,,,
POI,Todaiji Temple, NARA,,34.17651213888889,132.7684543888889,0.0,,,World Update 20 Japan,,,,
POI,Toyoshima Bridge, KURE,,34.35238827777778,130.8871445,0.0,,,World Update 20 Japan,,,,
POI,Tsunoshima Bridge, SHIMONOSEKI,,34.352486166666665,130.84114105555557,63.35305619407654,,,World Update 20 Japan,,,,
Lighthouse,Tsunoshima Lighthouse, SHIMONOSEKI,,34.35265866,130.8410726,54.61995857788087,,,World Update 20 Japan,,,,
Lighthouse,Tsutsuzaki Lighthouse, TSUSHIMA,,35.46364355555556,139.8754688,-71.77547123825073,,,World Update 20 Japan,,,,
POI,Umihotaru, KISARAZU,,24.452389999999998,124.07881602777778,124.52993265792844,,,World Update 20 Japan,,,,
Lighthouse,Uganzaki Lighthouse, ISHIGAKI,,35.98250013888889,140.21999986111112,84.22060232261657,,,World Update 20 Japan,,,,
POI,Ushiku Daibutsu, USHIKU,,27.091793305555555,142.21649988888888,720.1639541033935,,,World Update 20 Japan,,,,
Building,VERA Ogasawara Observatory, OGASAWARA ISLANDS,,34.585782361111114,133.1405953,767.71656,,,World Update 20 Japan,,,,
POI,Yumetsuri Bridge, TOYAMA,,34.58585786,133.1405789,767.71656,,,World Update 20 Japan,,,,
Settlement,Masakae,,-0.342688692,31.73606265,4293.444913549806,,,World Update 20 Japan,,,,
Settlement,Shiroishi,,43.0565435,141.4226185,41.61257576625826,,,World Update 20 Japan,,,,
Settlement,Ibaraki,,36.6886025,140.4778651,583.1987462475588,,,World Update 20 Japan,,,,
Settlement,Fujioka,,36.25976306,139.0789352,263.2045079150391,,,World Update 20 Japan,,,,
Settlement,Oto City,,33.61751299,130.8529241,128.19915090377808,,,World Update 20 Japan,,,,
Settlement,Fukaya,,36.19797879,139.2792312,121.28575029785156,,,World Update 20 Japan,,,,
Settlement,Kuki,,36.06554385,139.6656909,37.38037364158629,,,World Update 20 Japan,,,,
Settlement,Chiba,,35.60827182,140.1047196,13.034657804079055,,,World Update 20 Japan,,,,
Settlement,Ichihara,,35.49870305,140.1317799,88.71298420555114,,,World Update 20 Japan,,,,
Settlement,Kashiwa,,35.8678188,139.9747957,59.639696092300426,,,World Update 20 Japan,,,,
Settlement,Narita,,35.77671953,140.3151885,126.6694422328186,,,World Update 20 Japan,,,,
Settlement,Shinyuku,,35.69360773,139.7040424,124.63779047317504,,,World Update 20 Japan,,,,
Settlement,Tokyo Metro,,35.69528846,139.5345141,210.0691774963379,,,World Update 20 Japan,,,,
Settlement,Haneda,,35.54883598,139.7782359,10.15370162405014,,,World Update 20 Japan,,,,
Settlement,Kamakura,,35.32007254,139.5556179,41.1075444998169,,,World Update 20 Japan,,,,
Settlement,Kawasaki,,35.52654093,139.7523061,19.305197264709474,,,World Update 20 Japan,,,,
Settlement,Odawara,,35.26753763,139.149704,61.720114152374265,,,World Update 20 Japan,,,,
Settlement,Yokohama,,35.4457074,139.6413256,42.65092,,,World Update 20 Japan,,,,
Settlement,Kyoto,,35.01610817,135.7658729,159.91685783309936,,,World Update 20 Japan,,,,
Settlement,Osaka City,,34.69984173,135.499812,5.231861221847533,,,World Update 20 Japan,,,,
Settlement,Kobe,,34.68764592,135.1972357,21.759014187641142,,,World Update 20 Japan,,,,
Settlement,Toyonaka,,34.78239492,135.4703761,100.28187379318236,,,World Update 20 Japan,,,,
Settlement,Hiroshima,,34.3842908,132.4531454,33.594130041656484,,,World Update 20 Japan,,,,
