Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
,,,,,,,,,,,,
,Flemish Béguinages,,,,,,,,,,,
,"La Grand-Place, Brussels",,,,,,,,,,,
,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",,,,,,,,,,,
,Belfries of Belgium and France * 4,,,,,,,,,,,
,Historic Centre of Brugge,,,,,,,,,,,
,Major Town Houses of the Architect Victor Horta (Brussels),,,,,,,,,,,
,Neolithic Flint Mines at Spiennes (Mons),,,,,,,,,,,
,Notre-Dame Cathedral in Tournai,,,,,,,,,,,
,Plantin-Moretus House-Workshops-Museum Complex,,,,,,,,,,,
,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe *,,,,,,,,,,,
,Stoclet House,,,,,,,,,,,
,Major Mining Sites of Wallonia,,,,,,,,,,,
,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement *",,,,,,,,,,,
,Colonies of Benevolence *,,,,,,,,,,,
,The Great Spa Towns of Europe *,,,,,,,,,,,
,Funerary and memory sites of the First World War (Western Front) *,,,,,,,,,,,
,,,,,,,,,,,,
,Belize,,,,,,,,,,,
,,,,,,,,,,,,
,Belize Barrier Reef Reserve System,,,,,,,,,,,
,,,,,,,,,,,,
,Benin,,,,,,,,,,,
,,,,,,,,,,,,
,Royal Palaces of Abomey,,,,,,,,,,,
,W-Arly-Pendjari Complex *,,,,,,,,,,,
,"Koutammakou, the Land of the Batammariba *",,,,,,,,,,,
,,,,,,,,,,,,
,Bolivia (Plurinational State of),,,,,,,,,,,
,,,,,,,,,,,,
,City of Potosí,,,,,,,,,,,
,Jesuit Missions of the Chiquitos,,,,,,,,,,,
,Historic City of Sucre,,,,,,,,,,,
,Fuerte de Samaipata,,,,,,,,,,,
,Noel Kempff Mercado National Park,,,,,,,,,,,
,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,,,,,,,,,,,
,"Qhapaq Ñan, Andean Road System *",,,,,,,,,,,
,,,,,,,,,,,,
,Bosnia and Herzegovina,,,,,,,,,,,
,,,,,,,,,,,,
,Old Bridge Area of the Old City of Mostar,,,,,,,,,,,
,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe *,,,,,,,,,,,
,Mehmed Paša Sokolovi? Bridge in Višegrad,,,,,,,,,,,
,Ste?ci Medieval Tombstone Graveyards *,,,,,,,,,,,
,"Vjetrenica Cave, Ravno",,,,,,,,,,,
,,,,,,,,,,,,
,Botswana,,,,,,,,,,,
,,,,,,,,,,,,
,Tsodilo,,,,,,,,,,,
,Okavango Delta,,,,,,,,,,,
,,,,,,,,,,,,
,Brazil,,,,,,,,,,,
,,,,,,,,,,,,
,Historic Town of Ouro Preto,,,,,,,,,,,
,Historic Centre of the Town of Olinda,,,,,,,,,,,
