Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Settlement,Colossus of Rhodes,,52.9225301,-1.4746186,157.1052832,,,EXAMPLE,,,,
,Great Pyramid of Giza,,,,,,,,,,,
,Hanging Gardens of Babylon,,,,,,,,,,,
,Statue of Zeus at Olympia,,,,,,,,,,,
,Temple of Artemis at Ephesus,,,,,,,,,,,
,Mausoleum at Halicarnassus,,,,,,,,,,,
,Lighthouse of Alexandria,,,,,,,,,,,
